chemical_name,smiles,database_id,cas,odor_data,odor_labels_filtered
Acetal,CCOC(C)OCC,0,105-57-7,"Fruity, choking alcoholic-like, green odor; nut, whiskey taste","['green', 'fruity', 'alcoholic']"
Acetaldehyde amyl isoamyl acetal,CCCCCOC(C)OCCC(C)C,1,13442-92-7,"Ethereal, green, alcoholic, cognac, somewhat vegetable","['vegetable', 'alcoholic', 'ethereal', 'green', 'cognac']"
Acetaldehyde benzyl methoxyethyl acetal,COC(C)OC(C)OCc1ccccc1,2,7492-39-9,"Sweet, somewhat green, fruity bitter almond odor","['green', 'fruity', 'almond', 'sweet']"
Acetaldehyde butyl ethyl acetal,CCCCOC(C)OCC,3,57006-87-8,"Ethereal, green, somewhat fruity, alcoholic, cognac","['alcoholic', 'ethereal', 'green', 'fruity', 'cognac']"
Acetaldehyde butyl isoamyl acetal,CCCCOC(C)OCCC(C)C,4,238757-27-2,"Ethereal, green, alcoholic, cognac, somewhat vegetable","['vegetable', 'alcoholic', 'ethereal', 'green', 'cognac']"
Acetaldehyde butyl methylbutyl acetal,CCCCOC(C)OC(C)CCC,5,77249-20-8,"Ethereal, green, alcoholic, cognac, somewhat vegetable","['vegetable', 'alcoholic', 'ethereal', 'green', 'cognac']"
Acetaldehyde butyl phenethyl acetal,CCCCOC(C)OCCc1ccccc1,6,64577-91-9,"Green vegetable odor; nutty, green pea/green pepper taste","['green', 'vegetable']"
Acetaldehyde di-isoamyl acetal,CC(C)CCOC(C)OCCC(C)C,7,13002-09-0,"Ethereal, green, alcoholic, fermented, somewhat vegetable","['alcoholic', 'ethereal', 'green', 'fermented', 'vegetable']"
Acetaldehyde di-isobutyl acetal,CC(C)COC(C)OCC(C)C,8,5669-09-0,"Ethereal, green, somewhat alcoholic, fermented","['green', 'fermented', 'alcoholic', 'ethereal']"
Acetaldehyde di-isopropyl acetal,CC(C)OC(C)OC(C)C,9,4285-59-0,"Pungent, ethereal, green, alcoholic, brandy, cognac, somewhat fruity","['alcoholic', 'ethereal', 'green', 'fruity', 'cognac', 'pungent', 'brandy']"
